applicant_id,name,consistency,social_trust,location_stability,months_at_address,monthly_sequence,social_references,label
1330,Nakul Sankaran,0.83,0.96,67,54,"[{""recharge_amount"": 263, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2719}, {""recharge_amount"": 257, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2650}, {""recharge_amount"": 253, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2615}, {""recharge_amount"": 209, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2153}, {""recharge_amount"": 267, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2759}, {""recharge_amount"": 205, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2120}, {""recharge_amount"": 271, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2798}, {""recharge_amount"": 202, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2081}, {""recharge_amount"": 204, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 2105}, {""recharge_amount"": 267, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2760}, {""recharge_amount"": 278, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2865}, {""recharge_amount"": 244, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2514}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.82}, {""relationship_type"": ""employer"", ""trust_score"": 0.8}]",1
1331,Fateh Balakrishnan,0.47,0.24,88,27,"[{""recharge_amount"": 532, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 8657}, {""recharge_amount"": 395, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 6424}, {""recharge_amount"": 704, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 11459}, {""recharge_amount"": 390, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 6337}, {""recharge_amount"": 704, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 11457}, {""recharge_amount"": 547, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 8897}, {""recharge_amount"": 569, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 9257}, {""recharge_amount"": 703, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 11438}, {""recharge_amount"": 300, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 4872}, {""recharge_amount"": 300, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 4878}, {""recharge_amount"": 469, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 7627}, {""recharge_amount"": 250, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 4062}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.38}, {""relationship_type"": ""employer"", ""trust_score"": 0.06}]",0
1332,Tarini Anand,0.94,0.51,26,19,"[{""recharge_amount"": 591, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 6127}, {""recharge_amount"": 590, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 6114}, {""recharge_amount"": 590, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 6122}, {""recharge_amount"": 558, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 5790}, {""recharge_amount"": 583, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 6042}, {""recharge_amount"": 583, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 6048}, {""recharge_amount"": 602, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 6247}, {""recharge_amount"": 613, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 6351}, {""recharge_amount"": 583, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 6048}, {""recharge_amount"": 594, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6159}, {""recharge_amount"": 586, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 6076}, {""recharge_amount"": 595, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 6173}]","[{""relationship_type"": ""employer"", ""trust_score"": 0.64}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.38}, {""relationship_type"": ""employer"", ""trust_score"": 0.5}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.69}]",0
1333,Vedika Ray,0.73,0.97,88,95,"[{""recharge_amount"": 486, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 8389}, {""recharge_amount"": 534, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 9221}, {""recharge_amount"": 540, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 9329}, {""recharge_amount"": 584, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 10089}, {""recharge_amount"": 554, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 9563}, {""recharge_amount"": 644, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 11122}, {""recharge_amount"": 583, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 10075}, {""recharge_amount"": 641, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 11069}, {""recharge_amount"": 477, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 8244}, {""recharge_amount"": 538, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 9295}, {""recharge_amount"": 654, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 11299}, {""recharge_amount"": 527, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 9110}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.82}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.91}, {""relationship_type"": ""employer"", ""trust_score"": 0.84}]",1
1334,Eshani Barad,0.32,0.03,34,7,"[{""recharge_amount"": 1035, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 13597}, {""recharge_amount"": 256, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 3359}, {""recharge_amount"": 673, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 8851}, {""recharge_amount"": 1069, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 14053}, {""recharge_amount"": 917, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 12058}, {""recharge_amount"": 658, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 8646}, {""recharge_amount"": 396, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 5208}, {""recharge_amount"": 768, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 10091}, {""recharge_amount"": 983, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 12925}, {""recharge_amount"": 410, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 5392}, {""recharge_amount"": 660, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 8680}, {""recharge_amount"": 333, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 4377}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.19}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.0}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.11}]",0
1335,Anahita Gala,0.98,0.98,18,69,"[{""recharge_amount"": 904, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 9286}, {""recharge_amount"": 927, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 9525}, {""recharge_amount"": 939, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 9650}, {""recharge_amount"": 936, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 9617}, {""recharge_amount"": 919, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 9436}, {""recharge_amount"": 920, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 9451}, {""recharge_amount"": 924, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 9489}, {""recharge_amount"": 923, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 9486}, {""recharge_amount"": 934, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 9599}, {""recharge_amount"": 931, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 9564}, {""recharge_amount"": 920, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 9455}, {""recharge_amount"": 921, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 9460}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.98}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.89}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.98}]",1
1336,Anvi Chand,0.8,0.48,47,80,"[{""recharge_amount"": 205, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2975}, {""recharge_amount"": 173, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 2510}, {""recharge_amount"": 206, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2987}, {""recharge_amount"": 203, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2948}, {""recharge_amount"": 199, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2893}, {""recharge_amount"": 233, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 3383}, {""recharge_amount"": 212, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 3080}, {""recharge_amount"": 178, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2590}, {""recharge_amount"": 192, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2792}, {""recharge_amount"": 178, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2593}, {""recharge_amount"": 240, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 3487}, {""recharge_amount"": 233, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 3389}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.34}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.6}]",1
1337,Diya Toor,0.98,0.05,74,110,"[{""recharge_amount"": 856, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 8983}, {""recharge_amount"": 859, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 9013}, {""recharge_amount"": 868, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 9106}, {""recharge_amount"": 866, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 9088}, {""recharge_amount"": 872, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 9155}, {""recharge_amount"": 859, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 9020}, {""recharge_amount"": 858, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 9002}, {""recharge_amount"": 882, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 9261}, {""recharge_amount"": 875, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 9183}, {""recharge_amount"": 877, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 9206}, {""recharge_amount"": 877, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 9206}, {""recharge_amount"": 854, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 8967}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.25}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.17}, {""relationship_type"": ""employer"", ""trust_score"": -0.13}]",1
1338,Samiha Ghosh,0.59,0.47,72,70,"[{""recharge_amount"": 218, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 10090}, {""recharge_amount"": 166, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 7671}, {""recharge_amount"": 230, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 10646}, {""recharge_amount"": 134, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 6204}, {""recharge_amount"": 206, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 9531}, {""recharge_amount"": 138, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 6408}, {""recharge_amount"": 199, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 9209}, {""recharge_amount"": 176, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 8157}, {""recharge_amount"": 145, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 6710}, {""recharge_amount"": 188, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 8697}, {""recharge_amount"": 143, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 6619}, {""recharge_amount"": 271, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 12538}]","[{""relationship_type"": ""employer"", ""trust_score"": 0.62}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.57}]",1
1339,Kabir Chand,0.5,0.34,74,24,"[{""recharge_amount"": 133, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 6500}, {""recharge_amount"": 80, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 3898}, {""recharge_amount"": 158, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 7694}, {""recharge_amount"": 88, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 4307}, {""recharge_amount"": 69, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 3374}, {""recharge_amount"": 108, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 5267}, {""recharge_amount"": 72, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 3533}, {""recharge_amount"": 131, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 6391}, {""recharge_amount"": 156, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 7629}, {""recharge_amount"": 116, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 5678}, {""recharge_amount"": 85, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 4129}, {""recharge_amount"": 135, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 6591}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.27}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.48}]",0
1340,Himmat Uppal,0.38,0.37,54,18,"[{""recharge_amount"": 536, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 7370}, {""recharge_amount"": 147, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 2017}, {""recharge_amount"": 542, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 7454}, {""recharge_amount"": 573, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 7887}, {""recharge_amount"": 599, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 8239}, {""recharge_amount"": 317, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 4365}, {""recharge_amount"": 461, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 6344}, {""recharge_amount"": 195, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 2682}, {""recharge_amount"": 497, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 6843}, {""recharge_amount"": 572, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 7871}, {""recharge_amount"": 152, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 2094}, {""recharge_amount"": 230, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 3162}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.56}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.51}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.26}, {""relationship_type"": ""employer"", ""trust_score"": 0.35}]",0
1341,Vanya Sampath,0.68,0.44,72,11,"[{""recharge_amount"": 533, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2438}, {""recharge_amount"": 631, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2889}, {""recharge_amount"": 468, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 2143}, {""recharge_amount"": 636, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2910}, {""recharge_amount"": 615, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2816}, {""recharge_amount"": 615, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2814}, {""recharge_amount"": 647, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2962}, {""recharge_amount"": 506, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2318}, {""recharge_amount"": 575, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 2634}, {""recharge_amount"": 607, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2778}, {""recharge_amount"": 720, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 3295}, {""recharge_amount"": 583, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2669}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.5}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.63}]",0
1342,Adah Hans,0.44,0.63,46,102,"[{""recharge_amount"": 693, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 7791}, {""recharge_amount"": 881, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 9904}, {""recharge_amount"": 838, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 9417}, {""recharge_amount"": 384, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 4313}, {""recharge_amount"": 771, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 8661}, {""recharge_amount"": 769, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 8635}, {""recharge_amount"": 610, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 6860}, {""recharge_amount"": 781, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 8775}, {""recharge_amount"": 635, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 7137}, {""recharge_amount"": 720, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 8090}, {""recharge_amount"": 897, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 10076}, {""recharge_amount"": 482, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 5421}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.71}, {""relationship_type"": ""employer"", ""trust_score"": 0.8}, {""relationship_type"": ""neighbor"", ""trust_score"": 0.48}]",1
1343,Rasha Khanna,0.65,0.62,57,48,"[{""recharge_amount"": 396, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 2405}, {""recharge_amount"": 667, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 4052}, {""recharge_amount"": 714, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 4340}, {""recharge_amount"": 559, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 3397}, {""recharge_amount"": 675, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 4102}, {""recharge_amount"": 454, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2758}, {""recharge_amount"": 583, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 3539}, {""recharge_amount"": 449, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 2727}, {""recharge_amount"": 784, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 4764}, {""recharge_amount"": 534, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 3242}, {""recharge_amount"": 426, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 2587}, {""recharge_amount"": 712, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 4327}]","[{""relationship_type"": ""guarantor"", ""trust_score"": 0.44}, {""relationship_type"": ""employer"", ""trust_score"": 0.68}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.62}]",1
1344,Nitya Baria,0.92,0.45,11,106,"[{""recharge_amount"": 677, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 7989}, {""recharge_amount"": 633, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 7468}, {""recharge_amount"": 642, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 7584}, {""recharge_amount"": 699, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 8253}, {""recharge_amount"": 694, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 8197}, {""recharge_amount"": 670, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 7909}, {""recharge_amount"": 717, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 8461}, {""recharge_amount"": 665, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 7844}, {""recharge_amount"": 663, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 7829}, {""recharge_amount"": 698, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 8238}, {""recharge_amount"": 704, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 8309}, {""recharge_amount"": 690, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 8150}]","[{""relationship_type"": ""employer"", ""trust_score"": 0.59}, {""relationship_type"": ""employer"", ""trust_score"": 0.51}, {""relationship_type"": ""employer"", ""trust_score"": 0.49}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.34}]",1
1345,Hunar Venkataraman,0.87,0.29,34,72,"[{""recharge_amount"": 379, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2916}, {""recharge_amount"": 355, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2725}, {""recharge_amount"": 395, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 3037}, {""recharge_amount"": 361, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2777}, {""recharge_amount"": 408, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 3139}, {""recharge_amount"": 415, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 3189}, {""recharge_amount"": 373, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 2870}, {""recharge_amount"": 406, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 3120}, {""recharge_amount"": 412, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 3169}, {""recharge_amount"": 433, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 3330}, {""recharge_amount"": 445, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 3420}, {""recharge_amount"": 380, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2919}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.35}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.14}]",1
1346,Faiyaz Bandi,0.53,0.57,52,7,"[{""recharge_amount"": 517, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 2335}, {""recharge_amount"": 405, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 1829}, {""recharge_amount"": 900, ""recharge_frequency"": 2, ""electricity_paid"": 0, ""grocery_spend"": 4070}, {""recharge_amount"": 766, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 3464}, {""recharge_amount"": 522, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 2359}, {""recharge_amount"": 721, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 3259}, {""recharge_amount"": 747, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 3376}, {""recharge_amount"": 764, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 3453}, {""recharge_amount"": 733, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 3312}, {""recharge_amount"": 755, ""recharge_frequency"": 3, ""electricity_paid"": 0, ""grocery_spend"": 3412}, {""recharge_amount"": 616, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 2786}, {""recharge_amount"": 722, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 3263}]","[{""relationship_type"": ""employer"", ""trust_score"": 0.45}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.54}]",0
1347,Aradhya Korpal,0.62,0.28,77,62,"[{""recharge_amount"": 165, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 3378}, {""recharge_amount"": 213, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 4373}, {""recharge_amount"": 176, ""recharge_frequency"": 3, ""electricity_paid"": 1, ""grocery_spend"": 3604}, {""recharge_amount"": 126, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2585}, {""recharge_amount"": 174, ""recharge_frequency"": 2, ""electricity_paid"": 1, ""grocery_spend"": 3559}, {""recharge_amount"": 214, ""recharge_frequency"": 4, ""electricity_paid"": 0, ""grocery_spend"": 4381}, {""recharge_amount"": 114, ""recharge_frequency"": 1, ""electricity_paid"": 1, ""grocery_spend"": 2332}, {""recharge_amount"": 155, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 3186}, {""recharge_amount"": 172, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 3533}, {""recharge_amount"": 173, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 3540}, {""recharge_amount"": 140, ""recharge_frequency"": 4, ""electricity_paid"": 1, ""grocery_spend"": 2880}, {""recharge_amount"": 102, ""recharge_frequency"": 1, ""electricity_paid"": 0, ""grocery_spend"": 2099}]","[{""relationship_type"": ""neighbor"", ""trust_score"": 0.11}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.46}, {""relationship_type"": ""guarantor"", ""trust_score"": 0.41}]",1
